Greedy	Dynamic
577	577	Both
139	139	Both
90	90	Both
569	569	Both
113	113	Both
472	472	Both
101	101	Both
346	349	Dynamic
137	137	Both
93	93	Both
320	320	Both
415	415	Both
450	451	Dynamic
485	485	Both
146	146	Both
483	489	Dynamic
334	334	Both
576	576	Both
611	611	Both
446	453	Dynamic
283	283	Both
171	171	Both
71	71	Both
109	109	Both
467	481	Dynamic
513	520	Dynamic
114	114	Both
127	127	Both
261	261	Both
277	295	Dynamic
508	508	Both
527	527	Both
548	548	Both
99	99	Both
324	324	Both
556	560	Dynamic
172	172	Both
327	327	Both
346	346	Both
406	415	Dynamic
590	590	Both
186	186	Both
509	511	Dynamic
400	414	Dynamic
85	85	Both
163	163	Both
307	319	Dynamic
207	207	Both
100	100	Both
592	592	Both
771	771	Both
297	297	Both
163	163	Both
183	190	Dynamic
529	536	Dynamic
323	323	Both
630	672	Dynamic
219	219	Both
587	594	Dynamic
369	377	Dynamic
383	383	Both
235	235	Both
235	235	Both
257	257	Both
323	323	Both
297	297	Both
323	331	Dynamic
104	111	Dynamic
364	364	Both
346	346	Both
270	270	Both
942	942	Both
645	645	Both
718	718	Both
232	232	Both
550	581	Dynamic
406	406	Both
167	167	Both
360	360	Both
247	247	Both
426	431	Dynamic
163	163	Both
342	342	Both
626	626	Both
161	162	Dynamic
264	264	Both
299	299	Both
312	312	Both
93	93	Both
446	451	Dynamic
803	803	Both
300	300	Both
218	218	Both
183	183	Both
484	484	Both
602	602	Both
674	681	Dynamic
96	96	Both
375	382	Dynamic
413	413	Both
126	126	Both
425	425	Both
200	200	Both
156	156	Both
245	245	Both
661	661	Both
224	224	Both
262	262	Both
248	265	Dynamic
438	438	Both
272	272	Both
376	401	Dynamic
249	260	Dynamic
396	396	Both
380	380	Both
765	782	Dynamic
262	264	Dynamic
605	605	Both
95	95	Both
200	200	Both
252	283	Dynamic
157	176	Dynamic
437	448	Dynamic
123	123	Both
454	456	Dynamic
124	124	Both
313	313	Both
427	436	Dynamic
138	138	Both
385	385	Both
138	138	Both
318	342	Dynamic
407	408	Dynamic
485	495	Dynamic
460	460	Both
590	590	Both
136	136	Both
349	349	Both
705	713	Dynamic
238	238	Both
430	461	Dynamic
152	152	Both
321	342	Dynamic
127	129	Dynamic
549	549	Both
86	86	Both
293	293	Both
290	290	Both
342	342	Both
167	167	Both
378	378	Both
337	357	Dynamic
91	102	Dynamic
120	120	Both
175	198	Dynamic
622	622	Both
595	595	Both
628	654	Dynamic
259	259	Both
431	465	Dynamic
464	469	Dynamic
241	241	Both
521	521	Both
565	592	Dynamic
238	264	Dynamic
0	0	Both
103	103	Both
237	260	Dynamic
580	580	Both
421	422	Dynamic
511	511	Both
585	585	Both
103	103	Both
394	394	Both
448	448	Both
155	159	Dynamic
206	206	Both
375	399	Dynamic
421	422	Dynamic
104	104	Both
313	313	Both
477	496	Dynamic
193	193	Both
239	239	Both
615	615	Both
386	391	Dynamic
472	481	Dynamic
239	239	Both
332	332	Both
172	172	Both
255	255	Both
96	97	Dynamic
492	498	Dynamic
493	493	Both
267	315	Dynamic
299	299	Both
273	273	Both
276	276	Both
408	408	Both
515	515	Both
304	304	Both
283	283	Both
467	487	Dynamic
76	76	Both
317	327	Dynamic
297	302	Dynamic
152	186	Dynamic
506	506	Both
237	241	Dynamic
100	100	Both
174	189	Dynamic
190	198	Dynamic
411	411	Both
188	188	Both
455	455	Both
288	288	Both
0	0	Both
37	38	Dynamic
417	424	Dynamic
233	251	Dynamic
200	200	Both
449	453	Dynamic
73	73	Both
252	252	Both
709	709	Both
99	99	Both
519	534	Dynamic
749	749	Both
307	320	Dynamic
517	517	Both
256	256	Both
65	88	Dynamic
530	558	Dynamic
280	280	Both
503	511	Dynamic
712	712	Both
134	134	Both
437	446	Dynamic
311	311	Both
410	429	Dynamic
197	197	Both
526	526	Both
170	170	Both
508	514	Dynamic
89	91	Dynamic
486	490	Dynamic
210	256	Dynamic
229	229	Both
537	537	Both
366	367	Dynamic
562	573	Dynamic
177	178	Dynamic
77	92	Dynamic
323	343	Dynamic
396	396	Both
108	108	Both
225	225	Both
401	423	Dynamic
321	343	Dynamic
120	120	Both
426	426	Both
93	93	Both
458	486	Dynamic
70	70	Both
370	384	Dynamic
502	502	Both
474	503	Dynamic
417	433	Dynamic
264	264	Both
227	227	Both
616	616	Both
313	313	Both
714	719	Dynamic
313	326	Dynamic
110	129	Dynamic
189	210	Dynamic
81	81	Both
334	349	Dynamic
713	737	Dynamic
237	237	Both
269	269	Both
270	291	Dynamic
134	148	Dynamic
169	169	Both
228	242	Dynamic
271	271	Both
172	172	Both
119	119	Both
387	391	Dynamic
384	384	Both
137	151	Dynamic
222	222	Both
441	461	Dynamic
758	758	Both
164	164	Both
576	579	Dynamic
361	361	Both
334	346	Dynamic
78	78	Both
354	354	Both
453	453	Both
472	497	Dynamic
240	240	Both
503	503	Both
220	220	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
0	0	Both
